Case Daily Trends - United States
Date generated: Thu Nov 19 2020 13:50:00 GMT-0500 (Eastern Standard Time)

Date,New Cases,7-Day Moving Avg
Nov 18 2020,165087,164495
Nov 17 2020,164382,161398
Nov 16 2020,151855,157112
Nov 15 2020,138025,152977
Nov 14 2020,156838,148280
Nov 13 2020,180671,139276
Nov 12 2020,194610,132442
Nov 11 2020,143408,121496
Nov 10 2020,134383,116228
Nov 9 2020,122910,109663
Nov 8 2020,105142,104417
Nov 7 2020,93811,99326
Nov 6 2020,132830,98614
Nov 5 2020,117988,93888
Nov 4 2020,106537,89912
Nov 3 2020,88427,86350
Nov 2 2020,86190,84029
Nov 1 2020,69499,80800
Oct 31 2020,88831,79900
Oct 30 2020,99750,79188
Oct 29 2020,90155,76785
Oct 28 2020,81599,74532
Oct 27 2020,72183,71969
Oct 26 2020,63589,70289
Oct 25 2020,63195,69785
Oct 24 2020,83851,67476
Oct 23 2020,82929,63092
Oct 22 2020,74380,61256
Oct 21 2020,63656,59699
Oct 20 2020,60426,59143
Oct 19 2020,60061,57291
Oct 18 2020,47035,55370
Oct 17 2020,53157,55232
Oct 16 2020,70078,55261
Oct 15 2020,63486,53579
Oct 14 2020,59761,52350
Oct 13 2020,47459,51392
Oct 12 2020,46614,50181
Oct 11 2020,46069,49172
Oct 10 2020,53363,47844
Oct 9 2020,58302,47268
Oct 8 2020,54887,46105
Oct 7 2020,53051,44984
Oct 6 2020,38984,43883
Oct 5 2020,39548,43852
Oct 4 2020,36778,43044
Oct 3 2020,49327,42980
Oct 2 2020,50160,43058
Oct 1 2020,47046,42483
Sep 30 2020,45342,41832
Sep 29 2020,38764,41277
Sep 28 2020,33891,42801
Sep 27 2020,36335,43580
Sep 26 2020,49871,43735
Sep 25 2020,46135,42692
Sep 24 2020,42488,43088
Sep 23 2020,41459,43308
Sep 22 2020,49429,43337
Sep 21 2020,39345,41192
Sep 20 2020,37419,40539
Sep 19 2020,42571,40276
Sep 18 2020,48906,39972
Sep 17 2020,44032,39575
Sep 16 2020,41663,38647
Sep 15 2020,34409,37405
Sep 14 2020,34779,35835
Sep 13 2020,35573,34605
Sep 12 2020,40447,34430
Sep 11 2020,46123,35142
Sep 10 2020,37536,35621
Sep 9 2020,32971,36649
Sep 8 2020,23418,37624
Sep 7 2020,26167,40471
Sep 6 2020,34350,41331
Sep 5 2020,45430,41914
Sep 4 2020,49476,41629
Sep 3 2020,44731,40949
Sep 2 2020,39798,41261
Sep 1 2020,43347,42217
Aug 31 2020,32188,41337
Aug 30 2020,38433,41479
Aug 29 2020,43430,41517
Aug 28 2020,44720,41787
Aug 27 2020,46916,42087
Aug 26 2020,46491,41805
Aug 25 2020,37187,41815
Aug 24 2020,33182,42130
Aug 23 2020,38697,42940
Aug 22 2020,45317,43419
Aug 21 2020,46821,44775
Aug 20 2020,44942,46171
Aug 19 2020,46565,47325
Aug 18 2020,39391,48737
Aug 17 2020,38853,51055
Aug 16 2020,42047,51277
Aug 15 2020,54812,52251
Aug 14 2020,56593,52224
Aug 13 2020,53014,53008
Aug 12 2020,56449,53421
Aug 11 2020,55620,53034
Aug 10 2020,40408,52239
Aug 9 2020,48864,53579
Aug 8 2020,54623,53398
Aug 7 2020,62079,54019
Aug 6 2020,55906,54961
Aug 5 2020,53743,56704
Aug 4 2020,50053,58455
Aug 3 2020,49791,59864
Aug 2 2020,47597,60538
Aug 1 2020,58970,62570
Jul 31 2020,68669,63374
Jul 30 2020,68109,64258
Jul 29 2020,65998,64853
Jul 28 2020,59918,65447
Jul 27 2020,54508,65898
Jul 26 2020,61819,66369
Jul 25 2020,64599,66566
Jul 24 2020,74861,66992
Jul 23 2020,72272,66975
Jul 22 2020,70157,66947
Jul 21 2020,63076,66558
Jul 20 2020,57800,66263
Jul 19 2020,63201,66416
Jul 18 2020,67579,66026
Jul 17 2020,74741,65361
Jul 16 2020,72076,64156
Jul 15 2020,67438,62328
Jul 14 2020,61006,61949
Jul 13 2020,58877,60423
Jul 12 2020,60470,58633
Jul 11 2020,62923,56332
Jul 10 2020,66306,54805
Jul 9 2020,59280,53579
Jul 8 2020,64785,52644
Jul 7 2020,50325,51157
Jul 6 2020,46346,50204
Jul 5 2020,44362,48724
Jul 4 2020,52234,48255
Jul 3 2020,57721,47179
Jul 2 2020,52741,45307
Jul 1 2020,54375,43573
Jun 30 2020,43654,41186
Jun 29 2020,35986,39853
Jun 28 2020,41075,38520
Jun 27 2020,44704,36598
Jun 26 2020,44616,34841
Jun 25 2020,40603,33071
Jun 24 2020,37670,31246
Jun 23 2020,34319,29127
Jun 22 2020,26658,28280
Jun 21 2020,27616,27125
Jun 20 2020,32411,26317
Jun 19 2020,32221,25326
Jun 18 2020,27830,23911
Jun 17 2020,22834,23041
Jun 16 2020,28392,22706
Jun 15 2020,18577,21132
Jun 14 2020,21958,20994
Jun 13 2020,25470,20415
Jun 12 2020,22317,20950
Jun 11 2020,21744,21910
Jun 10 2020,20486,21740
Jun 9 2020,17376,20910
Jun 8 2020,17607,21993
Jun 7 2020,17910,21590
Jun 6 2020,29214,22771
Jun 5 2020,29034,21963
Jun 4 2020,20556,20404
Jun 3 2020,14676,20511
Jun 2 2020,24955,21226
Jun 1 2020,14790,20008
May 31 2020,26177,21460
May 30 2020,23553,19912
May 29 2020,18123,20295
May 28 2020,21304,21172
May 27 2020,19680,21061
May 26 2020,16429,21515
May 25 2020,24958,22512
May 24 2020,15342,22444
May 23 2020,26229,22150
May 22 2020,24268,22969
May 21 2020,20522,22785
May 20 2020,22861,23738
May 19 2020,23405,23453
May 18 2020,24481,23176
May 17 2020,13284,22265
May 16 2020,31967,23767
May 15 2020,22977,23008
May 14 2020,27191,23440
May 13 2020,20869,23964
May 12 2020,21467,24321
May 11 2020,18106,24440
May 10 2020,23792,24588
May 9 2020,26660,25441
May 8 2020,25996,25888
May 7 2020,30861,26513
May 6 2020,23366,26645
May 5 2020,22303,26952
May 4 2020,19138,27180
May 3 2020,29763,27785
May 2 2020,29794,27712
May 1 2020,30369,28193
Apr 30 2020,31787,28123
Apr 29 2020,25512,28888
Apr 28 2020,23901,28937
Apr 27 2020,23371,29307
Apr 26 2020,29256,30178
Apr 25 2020,33161,29712
Apr 24 2020,29873,29249
Apr 23 2020,37144,29124
Apr 22 2020,25858,27984
Apr 21 2020,26490,28170
Apr 20 2020,29468,28155
Apr 19 2020,25995,27396
Apr 18 2020,29916,27846
Apr 17 2020,29002,28328
Apr 16 2020,29164,28935
Apr 15 2020,27158,29330
Apr 14 2020,26385,29923
Apr 13 2020,24156,29239
Apr 12 2020,29145,32034
Apr 11 2020,33288,31554
Apr 10 2020,33251,31181
Apr 9 2020,31930,31446
Apr 8 2020,31309,30623
Apr 7 2020,21597,29987
Apr 6 2020,43723,30140
Apr 5 2020,25780,27120
Apr 4 2020,30683,26024
Apr 3 2020,35100,24403
Apr 2 2020,26172,21973
Apr 1 2020,26856,20651
Mar 31 2020,22667,18809
Mar 30 2020,22584,17015
Mar 29 2020,18111,15337
Mar 28 2020,19332,14016
Mar 27 2020,18093,12085
Mar 26 2020,16920,10007
Mar 25 2020,13961,8271
Mar 24 2020,10110,6763
Mar 23 2020,10833,5716
Mar 22 2020,8864,4276
Mar 21 2020,5820,3185
Mar 20 2020,3541,2403
Mar 19 2020,4772,1936
Mar 18 2020,3406,1313
Mar 17 2020,2782,866
Mar 16 2020,749,511
Mar 15 2020,1230,435
Mar 14 2020,344,280
Mar 13 2020,271,240
Mar 12 2020,411,208
Mar 11 2020,277,159
Mar 10 2020,295,122
Mar 9 2020,221,84
Mar 8 2020,147,55
Mar 7 2020,64,35
Mar 6 2020,46,27
Mar 5 2020,66,21
Mar 4 2020,20,11
Mar 3 2020,24,9
Mar 2 2020,24,5
Mar 1 2020,6,2
Feb 29 2020,8,1
Feb 28 2020,0,0
Feb 27 2020,1,0
Feb 26 2020,0,0
Feb 25 2020,0,0
Feb 24 2020,0,0
Feb 23 2020,0,0
Feb 22 2020,0,0
Feb 21 2020,2,0
Feb 20 2020,0,0
Feb 19 2020,0,0
Feb 18 2020,0,0
Feb 17 2020,0,0
Feb 16 2020,0,0
Feb 15 2020,0,0
Feb 14 2020,0,0
Feb 13 2020,1,0
Feb 12 2020,0,0
Feb 11 2020,1,0
Feb 10 2020,0,0
Feb 9 2020,0,0
Feb 8 2020,0,0
Feb 7 2020,0,0
Feb 6 2020,0,0
Feb 5 2020,0,0
Feb 4 2020,0,0
Feb 3 2020,3,0
Feb 2 2020,0,0
Feb 1 2020,1,0
Jan 31 2020,2,0
Jan 30 2020,0,0
Jan 29 2020,0,0
Jan 28 2020,0,0
Jan 27 2020,0,0
Jan 26 2020,3,0
Jan 25 2020,0,0
Jan 24 2020,1,0
Jan 23 2020,0,0
Jan 22 2020,1,0
